car,price,body,mileage,engV,engType,registration,year,drive
Ford,15500.0,Crossover,68,2.5,Gas,yes,2010,Full
Mercedes-Benz,20500.0,Sedan,173,1.8,Gas,yes,2011,Rear
Mercedes-Benz,35000.0,Other,135,5.5,Petrol,yes,2008,Rear
Mercedes-Benz,17800.0,Van,162,1.8,Diesel,yes,2012,Front
Mercedes-Benz,33000.0,Vagon,91,2.65,Other,yes,2013,Unknown
Nissan,16600.0,Crossover,83,2.0,Petrol,yes,2013,Full
Honda,6500.0,Sedan,199,2.0,Petrol,yes,2003,Front
Renault,10500.0,Vagon,185,1.5,Diesel,yes,2011,Front
Mercedes-Benz,21500.0,Sedan,146,1.8,Gas,yes,2012,Rear
Mercedes-Benz,22700.0,Sedan,125,2.2,Diesel,yes,2010,Rear
Nissan,20447.154,Crossover,0,1.2,Petrol,yes,2016,Front
Mercedes-Benz,20400.0,Sedan,190,1.8,Gas,yes,2011,Rear
Mercedes-Benz,22500.0,Sedan,164,1.8,Gas,yes,2012,Rear
BMW,4700.0,Sedan,200,2.65,Petrol,yes,1996,Rear
Mercedes-Benz,21500.0,Sedan,159,1.8,Gas,yes,2012,Rear
BMW,19999.0,Sedan,290,4.8,Petrol,yes,2006,Rear
BMW,129222.0,Sedan,2,5.0,Petrol,yes,2016,Full
Mercedes-Benz,99999.0,Crossover,0,3.0,Petrol,yes,2016,Full
BMW,73900.0,Sedan,57,4.4,Petrol,yes,2013,Rear
Land Rover,0.0,Crossover,0,4.4,Diesel,yes,2016,Full
Nissan,26033.553,Crossover,0,1.6,Diesel,yes,2016,Full
BMW,104999.0,Crossover,2,3.0,Diesel,yes,2016,Full
BMW,66500.0,Crossover,1,2.0,Diesel,yes,2016,Full
BMW,65099.0,Crossover,0,2.0,Diesel,yes,2016,Full
BMW,23900.0,Crossover,235,3.0,Diesel,yes,2007,Full
Mercedes-Benz,69999.0,Crossover,0,2.2,Diesel,yes,2016,Full
BMW,66200.0,Crossover,70,3.0,Diesel,yes,2014,Full
BMW,63000.0,Crossover,0,2.0,Diesel,yes,2015,Full
Mercedes-Benz,105999.0,Crossover,0,2.98,Diesel,yes,2016,Full
Nissan,13980.0,Hatch,31,2.65,Other,yes,2013,Front
Nissan,17300.0,Hatch,24,2.65,Other,yes,2013,Front
Volkswagen,10700.0,Sedan,147,2.0,Petrol,yes,2007,Front
Audi,2600.0,Vagon,273,2.5,Diesel,no,1999,Front
Chrysler,13700.0,Sedan,70,2.4,Petrol,yes,2008,Front
Volkswagen,8999.0,Sedan,120,2.0,Petrol,yes,2008,Front
Jaguar,18777.0,Sedan,82,3.0,Petrol,yes,2008,Rear
Audi,2850.0,Sedan,260,2.65,Other,no,1999,Unknown
Audi,37000.0,Sedan,37,2.8,Petrol,yes,2012,Full
Mercedes-Benz,200000.0,Van,19,3.5,Petrol,yes,2013,Rear
Audi,3850.0,Vagon,215,2.5,Diesel,no,2002,Front
Nissan,13275.0,Hatch,12,2.65,Other,yes,2013,Front
BMW,1900.0,Sedan,300,2.5,Diesel,no,1997,Rear
BMW,39333.0,Sedan,6,2.0,Petrol,yes,2016,Unknown
Mercedes-Benz,99999.0,Crossover,0,2.99,Diesel,yes,2016,Full
Mercedes-Benz,70999.0,Crossover,0,2.2,Diesel,yes,2016,Full
BMW,63500.0,Crossover,1,2.0,Diesel,yes,2016,Full
BMW,59900.0,Crossover,30,2.0,Diesel,yes,2016,Full
Mitsubishi,9200.0,Crossover,110,2.4,Petrol,yes,2006,Full
Nissan,20241.897,Crossover,0,1.6,Petrol,yes,2015,Front
Mercedes-Benz,14490.0,Vagon,212,2.2,Diesel,yes,2008,Rear
Mercedes-Benz,31500.0,Sedan,123,2.2,Diesel,yes,2011,Unknown
Mercedes-Benz,0.0,Crossover,0,3.0,Diesel,yes,2016,Full
Volkswagen,8999.0,Sedan,120,1.9,Diesel,yes,2007,Front
Audi,3650.0,Sedan,240,2.5,Diesel,no,2000,Front
Nissan,17000.0,Hatch,38,2.65,Other,yes,2013,Front
Mitsubishi,12000.0,Sedan,121,2.4,Gas,yes,2009,Front
Kia,20633.886,Crossover,0,1.7,Diesel,yes,2016,Front
Porsche,55000.0,Crossover,105,3.0,Diesel,yes,2012,Full
Kia,18000.0,Crossover,64,2.0,Diesel,yes,2011,Full
Kia,21700.0,Crossover,58,2.0,Diesel,yes,2012,Full
Volkswagen,2400.0,Vagon,320,1.9,Diesel,no,2000,Front
Volkswagen,2350.0,Sedan,300,1.9,Diesel,no,1998,Front
Honda,18600.0,Vagon,98,2.4,Gas,yes,2011,Front
